entry_time,exit_time,entry_price,exit_price,pnl_net
2025-01-26 21:00:00,2025-01-26 22:00:00,104744.19,104427.54,0.0022230793707985973
2025-01-26 22:00:00,2025-01-26 23:00:00,104427.54,103349.66,0.009521798253602356
2025-01-26 23:00:00,2025-01-27 00:00:00,103349.66,102987.28,0.002706349222629321
2025-01-27 00:00:00,2025-01-27 01:00:00,102987.28,101434.01,0.014282153834920236
2025-01-27 01:15:00,2025-01-27 02:15:00,101665.93,101328.5,0.0025190076557603225
2025-01-27 02:45:00,2025-01-27 03:45:00,101000.0,101395.64,-0.004717227722772272
2025-01-27 03:45:00,2025-01-27 04:45:00,101395.64,100410.04,0.008920339059943858
2025-01-27 05:00:00,2025-01-27 06:00:00,100581.6,100261.03,0.0023871634573322253
2025-01-27 06:15:00,2025-01-27 07:15:00,99980.01,97808.1,0.020923442516158873
2025-01-27 07:30:00,2025-01-27 08:30:00,99158.54,98819.72,0.0026169522867116888
2025-01-27 09:30:00,2025-01-27 10:30:00,99166.37,98786.15,0.003034162730772551
2025-01-27 13:00:00,2025-01-27 14:00:00,101628.22,100139.96,0.013844160844300872
2025-01-27 14:45:00,2025-01-27 15:45:00,101920.89,101112.03,0.00713615518859775
2025-01-27 15:45:00,2025-01-27 16:45:00,101112.03,99744.0,0.012729844074933504
2025-01-31 17:30:00,2025-01-31 18:30:00,104757.3,103096.27,0.015055983306175311
2025-01-31 18:30:00,2025-01-31 19:30:00,103096.27,102350.0,0.006438574198659215
2025-01-31 19:30:00,2025-01-31 20:30:00,102350.0,101855.27,0.004033707865168499
2025-02-02 12:00:00,2025-02-02 13:00:00,99136.15,98542.87,0.005184497078008363
2025-02-02 14:15:00,2025-02-02 15:15:00,99421.99,98826.35,0.0051910287452504155
2025-02-02 15:15:00,2025-02-02 16:15:00,98826.35,98847.68,-0.0010158331254770331
2025-02-02 16:15:00,2025-02-02 17:15:00,98847.68,97848.01,0.009313236850880044
2025-02-02 17:30:00,2025-02-02 18:30:00,97740.68,97044.37,0.006324055204035798
2025-02-02 19:30:00,2025-02-02 20:30:00,98346.3,97947.56,0.003254448413412657
