entry_time,exit_time,entry_price,exit_price,pnl_gross,pnl_net
2025-01-25 15:30:00,2025-01-25 16:06:00,104980.0,104958.65,-0.00020337207087069747,-0.0010033720708706975
2025-01-25 15:33:00,2025-01-25 16:09:00,104960.0,104920.84,-0.00037309451219515524,-0.0011730945121951552
2025-01-25 15:36:00,2025-01-25 16:12:00,104936.96,104915.4,-0.0002054566856140317,-0.0010054566856140318
2025-01-25 15:42:00,2025-01-25 16:18:00,104819.38,104877.52,0.0005546684210496133,-0.00024533157895038676
2025-01-25 15:45:00,2025-01-25 16:21:00,104778.47,104847.03,0.0006543328987338494,-0.00014566710126615067
2025-01-25 15:51:00,2025-01-25 16:27:00,104844.83,104786.48,-0.0005565367410105565,-0.0013565367410105565
2025-01-25 16:12:00,2025-01-25 16:48:00,104915.4,104695.31,-0.002097785453803698,-0.002897785453803698
2025-01-25 16:27:00,2025-01-25 17:03:00,104786.48,104606.5,-0.0017175879941763092,-0.0025175879941763094
2025-01-25 16:33:00,2025-01-25 17:09:00,104726.0,104590.32,-0.0012955713003455973,-0.0020955713003455974
2025-01-25 16:45:00,2025-01-25 17:21:00,104598.81,104584.01,-0.00014149300551318807,-0.0009414930055131881
2025-01-25 16:48:00,2025-01-25 17:24:00,104695.31,104767.21,0.0006867547361960027,-0.0001132452638039973
2025-01-25 16:51:00,2025-01-25 17:27:00,104665.4,104780.01,0.0010950132517527338,0.0002950132517527338
2025-01-25 16:54:00,2025-01-25 17:30:00,104644.0,104751.59,0.0010281525935552588,0.00022815259355525878
2025-01-25 17:09:00,2025-01-25 17:45:00,104590.32,104706.34,0.0011092804764340478,0.0003092804764340478
2025-01-25 17:21:00,2025-01-25 17:57:00,104584.01,104899.71,0.003018625887456521,0.002218625887456521
2025-01-25 17:39:00,2025-01-25 18:15:00,104663.76,104847.03,0.0017510358886400038,0.0009510358886400037
2025-01-25 17:45:00,2025-01-25 18:21:00,104706.34,104936.12,0.002194518498115767,0.001394518498115767
2025-01-25 17:51:00,2025-01-25 18:27:00,104827.34,105038.08,0.0020103534058958784,0.0012103534058958785
2025-01-25 17:54:00,2025-01-25 18:30:00,104820.86,105194.89,0.0035682782988042537,0.002768278298804254
2025-01-25 18:18:00,2025-01-25 18:54:00,105000.0,104990.0,-9.523809523809524e-05,-0.0008952380952380953
2025-01-25 18:42:00,2025-01-25 19:18:00,104981.49,105163.99,0.0017384016934794886,0.0009384016934794885
2025-01-25 18:51:00,2025-01-25 19:27:00,104978.09,105002.91,0.0002364302875010108,-0.0005635697124989893
2025-01-25 18:57:00,2025-01-25 19:33:00,104983.49,105006.06,0.00021498618497053614,-0.000585013815029464
2025-01-25 19:12:00,2025-01-25 19:48:00,105076.01,104964.37,-0.0010624689688921328,-0.0018624689688921327
2025-01-25 19:18:00,2025-01-25 19:54:00,105163.99,105029.25,-0.0012812370470158582,-0.0020812370470158583
2025-01-25 19:21:00,2025-01-25 19:57:00,105160.01,105055.16,-0.0009970520162559064,-0.0017970520162559063
2025-01-25 19:27:00,2025-01-25 20:03:00,105002.91,105140.18,0.0013072971025278207,0.0005072971025278206
2025-01-25 19:30:00,2025-01-25 20:06:00,104984.01,105172.01,0.0017907488959509167,0.0009907488959509168
2025-01-25 19:33:00,2025-01-25 20:09:00,105006.06,105125.85,0.0011407913029020244,0.00034079130290202433
2025-01-25 19:36:00,2025-01-25 20:12:00,105010.16,105125.85,0.0011017029209364343,0.00030170292093643426
2025-01-25 19:39:00,2025-01-25 20:15:00,105001.96,105173.73,0.0016358742255857845,0.0008358742255857844
2025-01-25 19:42:00,2025-01-25 20:18:00,105002.4,105189.66,0.0017833878082787566,0.0009833878082787565
2025-01-25 19:54:00,2025-01-25 20:30:00,105029.25,105153.98,0.0011875739377363538,0.00038757393773635373
2025-01-25 20:27:00,2025-01-25 21:03:00,105086.95,104958.0,-0.0012270790997359528,-0.0020270790997359528
2025-01-25 20:33:00,2025-01-25 21:09:00,104997.8,104909.35,-0.0008423986026373609,-0.0016423986026373608
2025-01-25 20:45:00,2025-01-25 21:21:00,105052.0,104940.86,-0.0010579522522179436,-0.0018579522522179435
2025-01-25 20:48:00,2025-01-25 21:24:00,105115.99,104981.06,-0.0012836296361762617,-0.002083629636176262
