entry_time,exit_time,entry_price,exit_price,pnl_net,week,model_source
2025-02-02 15:15:00,2025-02-02 16:15:00,98826.35,98847.68,-0.0010157865515911673,2,current
2025-02-02 16:15:00,2025-02-02 17:15:00,98847.68,97848.01,0.009416559335238378,2,current
2025-02-02 17:30:00,2025-02-02 18:30:00,97740.68,97044.37,0.006375171522057361,2,current
2025-02-02 19:30:00,2025-02-02 20:30:00,98346.3,97947.56,0.0032709538859365694,2,current
2025-02-02 20:30:00,2025-02-02 21:30:00,97947.56,96781.73,0.011245971899861696,2,current
2025-02-02 22:15:00,2025-02-02 23:15:00,97409.03,97018.79,0.0032223136157439737,2,current
2025-02-02 23:30:00,2025-02-03 00:30:00,97326.08,95694.54,0.01624945757615856,2,current
2025-02-03 00:30:00,2025-02-03 01:30:00,95694.54,94153.52,0.015567099180147375,2,current
2025-02-03 01:30:00,2025-02-03 02:30:00,94153.52,93859.99,0.0023273176142464837,2,current
2025-02-03 03:00:00,2025-02-03 04:00:00,94348.08,93922.5,0.0037311826239719106,2,current
2025-02-03 12:00:00,2025-02-03 13:00:00,95310.99,94708.86,0.005557694517704095,2,current
2025-02-06 14:00:00,2025-02-06 15:00:00,98472.5,97959.55,0.004436345001584807,2,current
2025-02-06 15:00:00,2025-02-06 16:00:00,97959.55,97533.46,0.0035686546135038836,2,current
2025-02-09 12:15:00,2025-02-09 13:15:00,96610.0,96204.0,0.0034201987443349554,3,current
2025-02-09 20:15:00,2025-02-09 21:15:00,96505.62,95956.82,0.004919239132768137,3,current
2025-02-10 01:00:00,2025-02-10 02:00:00,96474.01,95498.46,0.009415347975244714,3,current
2025-02-11 16:00:00,2025-02-11 17:00:00,97013.22,96080.72,0.00890538105875976,3,current
2025-02-11 17:15:00,2025-02-11 18:15:00,96275.19,95672.6,0.00549845953804952,3,current
2025-02-11 18:15:00,2025-02-11 19:15:00,95672.6,95036.38,0.0058944889946355395,3,current
2025-02-12 12:15:00,2025-02-12 13:15:00,96219.76,96505.42,-0.003760041000806001,3,current
2025-02-12 13:15:00,2025-02-12 14:15:00,96505.42,94696.02,0.01830745562485091,3,current
2025-02-16 21:30:00,2025-02-16 22:30:00,97168.26,96798.73,0.003017508762769913,4,current
2025-02-16 22:30:00,2025-02-16 23:30:00,96798.73,96184.46,0.005586374680483619,4,current
2025-02-17 06:30:00,2025-02-17 07:30:00,96348.84,95970.01,0.0031473789780786915,4,current
2025-02-17 14:00:00,2025-02-17 15:00:00,96925.21,96619.5,0.0023640610849777364,4,current
2025-02-17 15:00:00,2025-02-17 16:00:00,96619.5,95613.82,0.009718144761918235,4,current
2025-02-18 12:00:00,2025-02-18 13:00:00,95812.46,96350.0,-0.006379034769071029,4,current
2025-02-18 14:00:00,2025-02-18 15:00:00,96281.59,95578.01,0.006561316687802997,4,current
2025-02-18 16:00:00,2025-02-18 17:00:00,95402.58,94774.17,0.005830604098141967,4,current
2025-02-18 17:00:00,2025-02-18 18:00:00,94774.17,94051.23,0.006886661833130756,4,current
2025-02-18 18:00:00,2025-02-18 19:00:00,94051.23,93512.71,0.004958789366707365,4,current
2025-02-21 17:00:00,2025-02-21 18:00:00,97973.41,96731.98,0.01203370814905275,4,current
2025-02-21 18:00:00,2025-02-21 19:00:00,96731.98,96570.6,0.0008711090124736731,4,current
2025-02-21 19:00:00,2025-02-21 20:00:00,96570.6,95287.99,0.012660353188266438,4,current
2025-02-23 13:45:00,2025-02-23 14:45:00,95977.96,95593.89,0.00321772540065068,5,current
2025-02-24 07:15:00,2025-02-24 08:15:00,95804.27,95423.99,0.0031851613834214944,5,current
2025-02-24 09:15:00,2025-02-24 10:15:00,96019.5,95577.83,0.00382105071856097,5,current
2025-02-24 13:00:00,2025-02-24 14:00:00,95778.0,95412.01,0.003035890261613871,5,current
2025-02-24 14:00:00,2025-02-24 15:00:00,95412.01,94855.35,0.005068514532917636,5,current
2025-02-24 15:00:00,2025-02-24 16:00:00,94855.35,94726.87,0.0005563205455855397,5,current
2025-02-24 17:15:00,2025-02-24 18:15:00,94949.86,94503.51,0.003923104993666434,5,current
2025-02-24 18:30:00,2025-02-24 19:30:00,94359.53,93770.05,0.005486442206226784,5,current
2025-02-24 20:00:00,2025-02-24 21:00:00,94260.01,93861.6,0.0034446538307464276,5,current
2025-02-24 21:15:00,2025-02-24 22:15:00,94100.38,93507.72,0.00553808630987905,5,current
2025-02-24 22:15:00,2025-02-24 23:15:00,93507.72,92034.77,0.015204277513813496,5,current
2025-02-24 23:30:00,2025-02-25 00:30:00,92033.06,91646.24,0.0034207950920844368,5,current
2025-02-25 04:15:00,2025-02-25 05:15:00,92294.84,91918.42,0.003295153071604128,5,current
2025-02-25 05:15:00,2025-02-25 06:15:00,91918.42,91560.0,0.0031145915246832486,5,current
2025-02-25 06:15:00,2025-02-25 07:15:00,91560.0,89405.59,0.02329703912249786,5,current
2025-02-25 08:00:00,2025-02-25 09:00:00,89841.17,89347.57,0.004724492719835483,5,current
2025-02-25 09:00:00,2025-02-25 10:00:00,89347.57,87746.64,0.017444915132932812,5,current
2025-02-25 10:45:00,2025-02-25 11:45:00,88213.77,89239.39,-0.012292906887866394,5,current
2025-02-25 12:45:00,2025-02-25 13:45:00,89395.98,88826.11,0.005615568575501002,5,current
2025-02-25 13:45:00,2025-02-25 14:45:00,88826.11,87157.25,0.018347689951208886,5,current
2025-02-26 16:30:00,2025-02-26 17:30:00,87229.99,86652.64,0.0058628091192606,5,current
2025-02-26 17:30:00,2025-02-26 18:30:00,86652.64,84752.01,0.021625780816289842,5,current
2025-02-26 18:30:00,2025-02-26 19:30:00,84752.01,84031.9,0.007769483731773299,5,current
2025-02-28 00:00:00,2025-02-28 01:00:00,84560.58,84281.72,0.0025086652716627116,5,current
2025-02-28 01:00:00,2025-02-28 02:00:00,84281.72,82448.02,0.02144067964276155,5,current
2025-02-28 02:00:00,2025-02-28 03:00:00,82448.02,81043.44,0.01653119916923568,5,current
2025-02-28 03:00:00,2025-02-28 04:00:00,81043.44,80017.26,0.012024483117767437,5,current
2025-02-28 04:15:00,2025-02-28 05:15:00,80337.34,79781.92,0.006161727669627382,5,current
2025-02-28 05:15:00,2025-02-28 06:15:00,79781.92,79490.57,0.002865214628603006,5,current
2025-02-28 07:00:00,2025-02-28 08:00:00,79745.84,78786.02,0.011382618185307398,5,current
2025-03-03 18:00:00,2025-03-03 19:00:00,89377.36,87078.23,0.025603040116915617,6,current
2025-03-03 19:00:00,2025-03-03 20:00:00,87078.23,85756.54,0.014612119005734168,6,current
2025-03-07 00:00:00,2025-03-07 01:00:00,90218.0,86505.07,0.04212153049526453,6,current
2025-03-07 01:30:00,2025-03-07 02:30:00,88715.36,87848.98,0.009062152070519256,6,current
2025-03-07 02:30:00,2025-03-07 03:30:00,87848.98,87168.0,0.00701227055800289,6,current
2025-03-07 12:00:00,2025-03-07 13:00:00,89199.43,89448.66,-0.0035862910411403643,6,current
2025-03-07 15:00:00,2025-03-07 16:00:00,90022.06,88680.0,0.014333739287325188,6,current
2025-03-09 12:30:00,2025-03-09 13:30:00,84709.76,84259.99,0.004537883377389309,7,current
2025-03-09 13:30:00,2025-03-09 14:30:00,84259.99,83394.97,0.009572568033779543,7,current
2025-03-09 14:45:00,2025-03-09 15:45:00,83602.57,83080.41,0.005484995464033019,7,current
2025-03-09 15:45:00,2025-03-09 16:45:00,83080.41,82496.01,0.006283978970619412,7,current
2025-03-09 20:00:00,2025-03-09 21:00:00,83175.73,82580.01,0.00641385235966914,7,current
2025-03-09 21:00:00,2025-03-09 22:00:00,82580.01,81567.99,0.011607072921620226,7,current
2025-03-09 22:00:00,2025-03-09 23:00:00,81567.99,80582.71,0.01142694049381063,7,current
2025-03-10 02:15:00,2025-03-10 03:15:00,82146.03,81818.62,0.0032016563466849422,7,current
2025-03-10 09:15:00,2025-03-10 10:15:00,83238.89,81864.27,0.015991452485925733,7,current
2025-03-10 11:45:00,2025-03-10 12:45:00,83582.0,83248.12,0.0032106611416570694,7,current
2025-03-10 12:45:00,2025-03-10 13:45:00,83248.12,81528.94,0.020286745393721457,7,current
2025-03-10 13:45:00,2025-03-10 14:45:00,81528.94,79847.08,0.02026351290491776,7,current
2025-03-10 15:15:00,2025-03-10 16:15:00,80264.02,79605.07,0.007477739093753663,7,current
2025-03-10 16:15:00,2025-03-10 17:15:00,79605.07,79071.14,0.0059525269017242895,7,current
2025-03-10 18:00:00,2025-03-10 19:00:00,78820.15,78006.17,0.009634815604970683,7,current
