entry_time,exit_time,entry_price,exit_price,pnl_net
2025-01-29 16:00:00,2025-01-29 17:00:00,101886.03,102294.0,0.0032041799646134136
2025-01-29 17:00:00,2025-01-29 18:00:00,102294.0,102306.61,-0.0006767278628267486
2025-01-29 18:00:00,2025-01-29 19:00:00,102306.61,102048.0,-0.003327793658689312
2025-01-29 19:00:00,2025-01-29 20:00:00,102048.0,103443.44,0.012874349325807485
2025-01-29 20:00:00,2025-01-29 21:00:00,103443.44,104216.79,0.006676066147838773
2025-01-29 22:00:00,2025-01-29 23:00:00,103523.79,104121.98,0.004978285358370306
2025-01-30 12:30:00,2025-01-30 13:30:00,104894.9,105043.05,0.0006123660921551834
2025-01-30 13:30:00,2025-01-30 14:30:00,105043.05,105157.77,0.0002921236578717121
2025-01-30 14:30:00,2025-01-30 15:30:00,105157.77,105828.81,0.005581268830634137
2025-02-03 15:00:00,2025-02-03 16:00:00,96726.11,98478.06,0.01731248276189332
2025-02-07 13:00:00,2025-02-07 14:00:00,97627.07,99573.91,0.019141600213957013
2025-02-09 23:00:00,2025-02-10 00:00:00,96086.43,96946.65,0.008152564893918956
2025-02-10 03:00:00,2025-02-10 04:00:00,96007.41,96874.18,0.008228157305774517
2025-02-12 16:00:00,2025-02-12 17:00:00,95363.45,97071.33,0.017109167505999466
2025-02-12 18:45:00,2025-02-12 19:45:00,96921.43,97205.06,0.002126390995262912
2025-02-14 16:00:00,2025-02-14 17:00:00,96810.0,97243.77,0.0036806321660985855
2025-02-14 17:00:00,2025-02-14 18:00:00,97243.77,98487.99,0.011994855649878662
2025-02-18 13:15:00,2025-02-18 14:15:00,96249.99,96508.45,0.0018852989802907185
2025-02-20 13:00:00,2025-02-20 14:00:00,97400.3,97732.78,0.0026135418474069988
2025-02-20 15:00:00,2025-02-20 16:00:00,97061.72,97413.51,0.0028243948695736445
2025-02-21 15:30:00,2025-02-21 16:30:00,97600.6,98366.04,0.0070425747382699255
2025-03-02 14:15:00,2025-03-02 15:15:00,85421.98,86431.07,0.011013001759032172
2025-03-02 15:15:00,2025-03-02 16:15:00,86431.07,88960.0,0.028459501241856578
2025-03-02 16:15:00,2025-03-02 17:15:00,88960.0,92702.91,0.04127407823741011
2025-03-02 17:15:00,2025-03-02 18:15:00,92702.91,93496.0,0.007755179120051317
2025-03-02 18:30:00,2025-03-02 19:30:00,92629.99,93304.01,0.006476477089115409
2025-03-02 19:30:00,2025-03-02 20:30:00,93304.01,94055.99,0.00725946068127201
2025-03-03 12:45:00,2025-03-03 13:45:00,93027.34,93586.83,0.005214253444202588
2025-03-03 14:45:00,2025-03-03 15:45:00,89278.88,90035.37,0.00767333658307531
2025-03-03 17:15:00,2025-03-03 18:15:00,90324.0,87766.09,-0.029119272839998267
2025-03-11 15:15:00,2025-03-11 16:15:00,80877.87,81487.27,0.006734817620691652
2025-03-12 12:00:00,2025-03-12 13:00:00,82948.15,83849.09,0.01006148395111889
2025-03-12 14:45:00,2025-03-12 15:45:00,81535.72,81738.97,0.0016927724928411745
2025-03-12 15:45:00,2025-03-12 16:45:00,81738.97,81970.76,0.0020357342892869043
2025-03-14 14:00:00,2025-03-14 15:00:00,82995.17,84258.24,0.014418596455673349
2025-03-14 15:00:00,2025-03-14 16:00:00,84258.24,84512.7,0.0022200013672252334
2025-03-19 12:15:00,2025-03-19 13:15:00,83645.15,83931.99,0.0026292484381940985
2025-03-19 13:45:00,2025-03-19 14:45:00,84092.16,84318.59,0.001892641026226381
