timestamp,open,high,low,close,volume,vol_ccy,vol_ccy_quote,confirm
2025-08-08 08:54:00,116569.9,116580.0,116558.0,116560.1,1.23973416,144511.319793938,144511.319793938,1
2025-08-08 08:57:00,116560.1,116636.0,116560.1,116620.0,2.14533863,250152.649736494,250152.649736494,1
2025-08-08 09:00:00,116620.0,116620.1,116558.9,116583.5,1.25369636,146152.42309405,146152.42309405,1
2025-08-08 09:03:00,116583.5,116583.9,116550.2,116565.9,2.20779376,257345.060259372,257345.060259372,1
2025-08-08 09:06:00,116566.0,116568.0,116531.5,116565.2,4.95210396,577152.94089579,577152.94089579,1
2025-08-08 09:09:00,116565.1,116652.0,116556.0,116652.0,3.56305247,415474.927616549,415474.927616549,1
2025-08-08 09:12:00,116651.9,116652.0,116588.0,116588.0,0.74633628,87040.329272639,87040.329272639,1
2025-08-08 09:15:00,116588.0,116624.9,116576.0,116624.8,1.4179866,165319.895636142,165319.895636142,1
2025-08-08 09:18:00,116624.9,116635.1,116568.0,116585.3,1.92999607,225029.22794492,225029.22794492,1
2025-08-08 09:21:00,116585.4,116585.4,116502.0,116554.0,1.24254526,144800.980842801,144800.980842801,1
2025-08-08 09:24:00,116554.0,116563.3,116488.7,116511.3,1.88590751,219761.943308826,219761.943308826,1
2025-08-08 09:27:00,116511.3,116543.9,116506.0,116543.9,2.44045141,284344.701455535,284344.701455535,1
2025-08-08 09:30:00,116543.9,116558.0,116536.0,116555.9,2.14141212,249573.670967888,249573.670967888,1
2025-08-08 09:33:00,116555.9,116598.0,116528.3,116598.0,1.6557516,192978.432496218,192978.432496218,1
2025-08-08 09:36:00,116598.0,116653.8,116593.0,116653.7,1.09343254,127510.919771059,127510.919771059,1
2025-08-08 09:39:00,116653.8,116653.8,116592.0,116606.7,3.33876984,389376.564770036,389376.564770036,1
2025-08-08 09:42:00,116606.7,116606.7,116594.0,116599.9,0.54359614,63382.27653643,63382.27653643,1
2025-08-08 09:45:00,116599.9,116654.1,116599.9,116654.1,2.57367968,300180.002091363,300180.002091363,1
2025-08-08 09:48:00,116654.2,116676.5,116644.1,116676.4,1.23860137,144488.257607784,144488.257607784,1
2025-08-08 09:51:00,116676.4,116734.0,116676.1,116734.0,4.23231112,493894.752294786,493894.752294786,1
2025-08-08 09:54:00,116734.0,116734.0,116726.1,116726.9,1.16440964,135920.229829755,135920.229829755,1
2025-08-08 09:57:00,116727.0,116727.0,116686.0,116686.1,2.94492174,343675.079007218,343675.079007218,1
2025-08-08 10:00:00,116685.9,116685.9,116659.2,116659.2,0.59487661,69404.208398781,69404.208398781,1
2025-08-08 10:03:00,116659.3,116690.5,116659.2,116690.5,1.32108054,154135.861127221,154135.861127221,1
2025-08-08 10:06:00,116691.9,116717.9,116653.0,116653.0,2.83781492,331149.401783926,331149.401783926,1
2025-08-08 10:09:00,116653.0,116653.2,116616.0,116634.1,1.43881942,167813.55351497,167813.55351497,1
2025-08-08 10:12:00,116634.0,116634.1,116612.0,116612.0,1.10652205,129041.428040571,129041.428040571,1
2025-08-08 10:15:00,116613.1,116636.2,116596.0,116604.0,4.12294723,480794.356092585,480794.356092585,1
2025-08-08 10:18:00,116604.0,116604.1,116586.0,116586.0,0.99808453,116364.300736647,116364.300736647,1
2025-08-08 10:21:00,116586.1,116586.1,116530.0,116533.1,0.89575624,104403.852570938,104403.852570938,1
2025-08-08 10:24:00,116533.0,116533.0,116504.1,116517.8,2.20189993,256555.648354169,256555.648354169,1
2025-08-08 10:27:00,116517.7,116517.8,116500.1,116500.2,1.52353677,177508.808029079,177508.808029079,1
2025-08-08 10:30:00,116500.1,116512.1,116494.1,116497.9,0.88916362,103589.430109021,103589.430109021,1
2025-08-08 10:33:00,116497.9,116512.0,116497.9,116502.1,3.02281672,352165.439698064,352165.439698064,1
2025-08-08 10:36:00,116502.1,116542.0,116502.0,116528.1,1.63385065,190376.311470267,190376.311470267,1
2025-08-08 10:39:00,116528.0,116528.9,116496.0,116496.2,2.51859281,293418.27487786,293418.27487786,1
2025-08-08 10:42:00,116496.1,116496.2,116458.4,116458.4,2.68328021,312553.238876932,312553.238876932,1
2025-08-08 10:45:00,116458.4,116458.5,116438.0,116438.2,1.91853681,223398.988158564,223398.988158564,1
2025-08-08 10:48:00,116438.2,116438.3,116406.1,116406.1,3.02768276,352504.941290723,352504.941290723,1
2025-08-08 10:51:00,116406.1,116455.0,116321.7,116449.5,23.21737108,2701824.74990884,2701824.74990884,1
2025-08-08 10:54:00,116450.0,116574.2,116450.0,116518.1,3.89079368,453448.801409404,453448.801409404,1
2025-08-08 10:57:00,116518.1,116553.9,116510.0,116548.0,2.7039643,315112.619093086,315112.619093086,1
2025-08-08 11:00:00,116548.1,116610.0,116544.7,116610.0,1.06296283,123934.741966736,123934.741966736,1
2025-08-08 11:03:00,116610.0,116637.8,116609.9,116637.8,1.14440871,133469.201489699,133469.201489699,1
